ID,TargetF1,TargetRAUC
ID_E760D84B,0,0.2971252318522801
ID_6EDEA907,0,0.40973751864580393
ID_B9FFC8D8,0,0.33210513196833036
ID_74C6C94E,0,0.26688591242239557
ID_0E02825D,1,0.667863690616568
ID_DA1C6468,0,0.45434442638984646
ID_82EBD610,0,0.43608303162659184
ID_791C412A,1,0.8174885274965973
ID_8FB9365C,0,0.4603694454283749
ID_724491A7,0,0.29375665187591626
ID_95C83AE3,0,0.36437246873045465
ID_6650ABA4,1,0.7957490349266192
ID_92412BFC,1,0.8156188389188739
ID_257F4327,1,0.8178647423941507
ID_CD7A50F0,1,0.7997234344813167
ID_8A80F1B6,1,0.8225249574278249
ID_90DB7797,1,0.7942602104408782
ID_4FF46045,0,0.4558178859962829
ID_33E6AFA0,0,0.2930526368074431
ID_FF308DAB,0,0.3950544867979196
ID_E6335ACF,1,0.8107979264499503
ID_00A5C192,1,0.8322497443638255
ID_C644EA64,1,0.5394115380779582
ID_B922D5B3,0,0.4013152963354669
ID_4922E479,0,0.3918676762584822
ID_1B6F3B46,1,0.8110363796963461
ID_1E3C23E7,1,0.8142085484397741
ID_C9E61B00,1,0.8183041818649278
ID_3A4C3214,1,0.8443298195636848
ID_B70DC075,1,0.8442003231867234
ID_37FEC45E,1,0.8501089826959024
ID_04E5F26F,1,0.8476935536916477
ID_CED509CF,1,0.841492469952462
ID_DCD98292,0,0.45461743709305635
ID_FEFAA255,0,0.45047470858218963
ID_1C24DA16,1,0.7937660715317565
ID_0FB18B11,1,0.8357798020540343
ID_EB1ED24C,1,0.8132338687771634
ID_E987B903,0,0.31610461338894386
ID_F1BC780A,1,0.8557247297383137
ID_BA6C0C58,1,0.8172005130846536
ID_A7CB9837,0,0.2989716647598928
ID_5FCD1EA3,0,0.39755288972782
ID_81A71445,1,0.7973574501314492
ID_667AEDE0,0,0.39908912928570417
ID_2321FB97,1,0.8035715818101724
ID_4738ABDA,1,0.8362328944520756
ID_6DF23A45,0,0.3291295159148201
ID_5033C878,1,0.8088390227904793
ID_64691B48,0,0.27936410826896735
ID_B7A3CC04,0,0.2926958236961805
ID_B2F4942A,0,0.27606507945953146
ID_4DA54BA7,0,0.4073142700582085
ID_37CDF050,0,0.27459521191798897
ID_BF308F64,0,0.45573725310925484
ID_23C954B8,1,0.665337680678199
ID_2CAB42BB,0,0.41138230609279836
