ID,TargetF1,TargetRAUC
ID_E760D84B,0,0.48169357773394184
ID_6EDEA907,1,0.674674291041485
ID_B9FFC8D8,1,0.5890326953636251
ID_74C6C94E,0,0.4040593376474158
ID_0E02825D,1,0.7989212735309562
ID_DA1C6468,1,0.6975624094554014
ID_82EBD610,1,0.5602545729454467
ID_791C412A,1,0.928659488040664
ID_8FB9365C,1,0.7555398180244715
ID_724491A7,1,0.5678417679439243
ID_95C83AE3,1,0.65605023358157
ID_6650ABA4,1,0.9020377574110771
ID_92412BFC,1,0.9321022539648293
ID_257F4327,1,0.9296973615410516
ID_CD7A50F0,1,0.9136191457234292
ID_8A80F1B6,1,0.898621206198073
ID_90DB7797,1,0.8892090873808564
ID_4FF46045,1,0.7231876296688696
ID_33E6AFA0,0,0.40154638506834134
ID_FF308DAB,1,0.7165322568176277
ID_E6335ACF,1,0.9051337307853051
ID_00A5C192,1,0.9330163653775699
ID_C644EA64,1,0.7985661161033434
ID_B922D5B3,1,0.7154790273268
ID_4922E479,1,0.7096290145605745
ID_1B6F3B46,1,0.9011285634013713
ID_1E3C23E7,1,0.911387048919103
ID_C9E61B00,1,0.9214957657271751
ID_3A4C3214,1,0.9383861335038839
ID_B70DC075,1,0.9391011857167598
ID_37FEC45E,1,0.9398853007875341
ID_04E5F26F,1,0.9417119485568333
ID_CED509CF,1,0.9357667694554509
ID_DCD98292,1,0.7333792397890425
ID_FEFAA255,1,0.7483240402905872
ID_1C24DA16,1,0.910075398392419
ID_0FB18B11,1,0.9367530303367291
ID_EB1ED24C,1,0.9329103823983762
ID_E987B903,1,0.5514226242961459
ID_F1BC780A,1,0.938035314224732
ID_BA6C0C58,1,0.917181094044048
ID_A7CB9837,0,0.4683839947737018
ID_5FCD1EA3,0,0.37308823925223805
ID_81A71445,1,0.9095986037690648
ID_667AEDE0,0,0.44380673821165645
ID_2321FB97,1,0.908816248859915
ID_4738ABDA,1,0.9298191449808348
ID_6DF23A45,0,0.41683536492016365
ID_5033C878,1,0.9257165610224816
ID_64691B48,0,0.3198307679198275
ID_B7A3CC04,0,0.4544429232684952
ID_B2F4942A,0,0.4305979469956255
ID_4DA54BA7,0,0.5073488827202359
ID_37CDF050,0,0.35383695789906977
ID_BF308F64,0,0.4406992622295422
ID_23C954B8,1,0.6629668965536268
ID_2CAB42BB,0,0.45242215544190895
ID_28FC36FB,0,0.3504557940344796
ID_E9FB2EE0,0,0.40657489920054796
ID_40E0E560,0,0.47759953006518396
ID_6390D5E3,1,0.596953723555152
ID_14816EA6,0,0.4598354131913762
ID_0BA591EF,0,0.44215844418503847
ID_3FE2AD00,1,0.7294324706174462
ID_ECE8827F,1,0.9320179431382372
ID_E8447477,1,0.9362529762893196
ID_FC0EEFB3,1,0.615921932143304
ID_C04F966D,1,0.5885634702712508
ID_8A1BB4B5,1,0.8808230651558924
ID_8F7535A8,1,0.935846573061794
ID_F0E81248,1,0.5947691661785897
ID_BEE12475,1,0.9350105545765782
ID_3C31D099,1,0.9360265982791237
ID_9251B100,1,0.9216193199021921
ID_9B7CB467,1,0.928147960551291
ID_1361BD75,0,0.46799004201630656
ID_794D8957,1,0.9295761340731303
ID_DFEC4687,1,0.9356178196071955
ID_2942441F,1,0.9326206782328698
ID_A0D3A8EC,1,0.9290405312378859
ID_4B2DB0F9,0,0.4882820459277623
ID_D84255BD,1,0.6646167808135329
ID_6AAEAE8D,1,0.9356859546770131
ID_85FA5EED,1,0.6837965548024577
ID_8AEFEADB,1,0.9337180429985548
ID_019770DF,1,0.9347627529911922
ID_993EA802,0,0.4962432902385237
ID_84316E57,1,0.9273791312126766
ID_B05DFB77,1,0.932890640447992
ID_8DF97D0F,1,0.9331656875716373
ID_7E9F2BAA,0,0.43072338619047507
ID_68029D80,1,0.9325391558625075
ID_85B6C676,0,0.470665677020784
ID_DF32D72E,1,0.727271503180662
ID_471C11AC,1,0.9230724493458604
ID_4C672D7E,1,0.6666444814483912
ID_2B9DF127,1,0.9347267450485486
ID_1F7E202E,1,0.9329620571867836
ID_EEFE9B75,1,0.9112642304054445
ID_D12EA07C,0,0.322794338673346
ID_88FCF4B6,1,0.9201858583688286
ID_6E5C17E5,1,0.9229064137227256
ID_F59245FC,1,0.9332040905089354
ID_0562A431,0,0.47773617241941974
ID_56C774E2,1,0.9284905524672808
ID_C640170D,1,0.931510710029503
ID_A2C7F38C,1,0.9325278643523286
